vol_requests,category_desc,subcategory,Latitude,Longitude
1,Strengthening Communities,General Support,40.749193,-73.889702
1,Strengthening Communities,Fundraising,40.713001,-74.004181
10,Education,Education,40.749794,-73.991486
20,Helping Neighbors in Need,Helping Neighbors in Need,40.708546,-74.011041
1,Strengthening Communities,Youth Mentoring,40.7170829,-73.9893099
50,Education,Education,40.739861,-73.9851916
15,Strengthening Communities,Manual Labor & Environment,40.734163,-73.988627
20,Education,Education,40.706186,-74.010907
1,Health,Health,40.739173,-73.976862
20,Strengthening Communities,General Support,40.72631,-74.00749
20,Education,Education,40.739861,-73.9851916
4,Strengthening Communities,Youth Mentoring,40.7594193,-73.9892203
1,Health,Health,40.751616,-73.834155
4,Education,Academic Tutoring,40.8104656,-73.9505422
10,Strengthening Communities,General Support,40.747629,-73.99306
20,Strengthening Communities,Manual Labor & Environment,40.806654,-73.955649
25,Education,Education,40.71187,-74.00641
8,Strengthening Communities,Manual Labor & Environment,40.710954,-73.835147
5,Strengthening Communities,General Support,40.656162,-74.00901
15,Strengthening Communities,General Support,40.667112,-73.885169
3,Helping Neighbors in Need,Admin & Office Support,40.7978043,-73.9675844
40,Strengthening Communities,General Support,40.793072,-73.951992
3,Helping Neighbors in Need,Professional Skills,40.865714,-73.886305
20,Helping Neighbors in Need,Youth Mentoring,40.7313422,-73.9887282
99,Strengthening Communities,General Support,40.720942,-73.997929
3,Helping Neighbors in Need,Helping Neighbors in Need,40.739861,-73.9851916
10,Health,Health,40.811101,-73.964168
1,Strengthening Communities,Fundraising,40.677354,-73.984973
15,Environment,Environment,40.736274,-73.97468
6,Education,Youth Mentoring,40.739861,-73.9851916
20,Strengthening Communities,Event Support,40.8030637,-73.952906
10,Helping Neighbors in Need,Helping Neighbors in Need,40.72631,-74.00749
50,Helping Neighbors in Need,Helping Neighbors in Need,40.713265,-74.007063
8,Helping Neighbors in Need,Helping Neighbors in Need,40.754116,-73.9903452
10,Environment,Environment,40.746817,-73.993655
1,Strengthening Communities,Professional Skills,40.667112,-73.885169
1,Strengthening Communities,Fundraising,40.7313422,-73.9887282
15,Health,Health,40.753074,-73.972753
1000,Education,Youth Mentoring,40.739861,-73.9851916
2,Strengthening Communities,Professional Skills,40.753612,-73.992417
9999,Strengthening Communities,Professional Skills,40.7454894,-73.9797093
15,Strengthening Communities,General Support,40.739873,-73.788239
3,Strengthening Communities,Fundraising,40.7765642,-73.9537245
30,Education,Youth Mentoring,40.688289,-73.952216
2,Strengthening Communities,Admin & Office Support,40.746817,-73.993655
5,Strengthening Communities,Professional Skills,40.7978043,-73.9675844
20,Helping Neighbors in Need,Helping Neighbors in Need,40.811101,-73.964168
10,Education,Education,40.749794,-73.991486
20,Strengthening Communities,General Support,40.6810526,-73.9635903
6,Helping Neighbors in Need,ESL & Adult Literacy,40.63238,-74.021444
99,Strengthening Communities,General Support,40.720942,-73.997929
100,Strengthening Communities,Manual Labor & Environment,40.6020415,-73.9966359
100,Helping Neighbors in Need,Helping Neighbors in Need,40.753716,-73.987068
15,Environment,Environment,40.6810526,-73.9635903
99,Strengthening Communities,General Support,40.720942,-73.997929
5,Strengthening Communities,General Support,40.691698,-73.911714
10,Helping Neighbors in Need,Food Security,40.6215047,-73.965623
1,Strengthening Communities,General Support,40.70438,-74.006427
50,Helping Neighbors in Need,Helping Neighbors in Need,40.713265,-74.007063
10,Health,Health,40.7484356,-73.9940338
20,Education,Academic Tutoring,40.739861,-73.9851916
100,Strengthening Communities,General Support,40.672713,-73.936924
4,Health,Health,40.744241,-73.981285
20,Education,Academic Tutoring,40.7920271,-73.9445046
20,Helping Neighbors in Need,Senior & Patient Care,40.692217,-73.986665
1,Health,Health,40.762131,-73.97036
25,Strengthening Communities,General Support,40.72496,-73.997157
100,Education,Education,40.740887,-73.9995464
3,Strengthening Communities,General Support,40.683929,-73.998659
10,Strengthening Communities,Academic Tutoring,40.811101,-73.964168
20,Strengthening Communities,General Support,40.671835,-73.963042
15,Strengthening Communities,Senior & Patient Care,40.5798314,-73.9987552
15,Strengthening Communities,General Support,40.739873,-73.788239
100,Strengthening Communities,Manual Labor & Environment,40.895865,-73.892294
1,Helping Neighbors in Need,Helping Neighbors in Need,40.771029,-73.9247023
30,Strengthening Communities,Manual Labor & Environment,40.7817366,-73.9511409
22,Strengthening Communities,General Support,40.713797,-74.005494
4,Strengthening Communities,General Support,40.740887,-73.9995464
10,Helping Neighbors in Need,Helping Neighbors in Need,40.666966,-73.990448
2,Helping Neighbors in Need,Event Support,40.706449,-74.012761
1,Health,Health,40.6540732,-73.8752529
100,Strengthening Communities,Event Support,40.78623,-73.9756746
20,Strengthening Communities,General Support,40.5798314,-73.9987552
1,Strengthening Communities,General Support,40.687759,-73.982898
200,Strengthening Communities,Manual Labor & Environment,40.750245,-73.976909
10,Strengthening Communities,General Support,40.680383,-73.909948
